order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3921,RANDOM,3.0093,944,0.267,61.54,19.44,37.04,294.87,30404,,,,,,
3923,BFD,5.2679,525,0.857,100.0,76.12,91.53,229.61,54306,,,,,,
3923,BNB,25367.7639,480,0.907,100.0,83.26,94.78,218.69,1542837,395470.0,75776.0,356164.0,3458839.0,57635890.0,61922139.0
3923,FFD,0.1031,1382,0.308,100.0,28.92,31.95,645.48,3176,,,,,,
3923,RANDOM,1.7028,1385,0.284,76.92,21.92,40.98,488.6,20544,,,,,,
3924,BFD,4.6411,581,0.855,100.0,75.96,89.19,253.99,43182,,,,,,
3924,BNB,2231.7528,514,0.919,100.0,85.86,93.85,238.79,156459,48766.0,9078.0,42431.0,293970.0,6539964.0,6934209.0
3924,FFD,0.1678,1371,0.339,100.0,32.19,34.32,648.81,4492,,,,,,
3924,RANDOM,3.2744,892,0.279,58.97,22.54,42.93,339.76,32367,,,,,,
3925,BFD,2.6156,710,0.834,100.0,69.75,95.64,285.63,27792,,,,,,
3925,BNB,11.7399,0,0.0,0.0,,0.0,-1.0,760,0.0,0.0,403.0,2642.0,32532.0,35577.0
3925,FFD,0.1328,1395,0.384,100.0,35.5,40.4,640.75,3197,,,,,,
3925,RANDOM,2.0858,1390,0.286,64.1,22.87,44.62,522.18,28574,,,,,,
3926,BFD,2.9464,623,0.801,100.0,68.02,89.63,256.03,38754,,,,,,
3926,BNB,116055.6208,513,0.905,100.0,82.6,94.31,231.86,12462485,2947633.0,335684.0,2811997.0,30621108.0,481852174.0,518568596.0
3926,FFD,0.1297,1375,0.341,100.0,30.82,36.99,613.83,6487,,,,,,
3926,RANDOM,0.4083,1350,0.345,94.87,29.47,58.1,559.75,7726,,,,,,
3927,BFD,2.2617,660,0.895,100.0,81.23,92.19,296.25,14106,,,,,,
3927,BNB,17.8656,0,0.0,0.0,,0.0,-1.0,1167,4.0,0.0,403.0,4250.0,39325.0,43982.0
3927,FFD,0.0672,1400,0.406,100.0,38.3,42.45,658.51,2082,,,,,,
3927,RANDOM,2.9036,1397,0.182,53.85,14.63,36.79,528.41,38426,,,,,,
3928,BFD,4.1995,560,0.79,100.0,65.13,89.61,220.37,44802,,,,,,
3928,BNB,14013.5962,452,0.89,100.0,80.69,93.67,202.68,808312,2600.0,457.0,174634.0,3043184.0,36401260.0,39622135.0
3928,FFD,0.0996,1395,0.282,100.0,26.14,30.32,641.78,2863,,,,,,
3928,RANDOM,0.7625,1370,0.276,89.74,23.59,50.4,568.47,9303,,,,,,
3929,BFD,4.0156,660,0.857,100.0,71.96,90.9,266.89,30504,,,,,,
3929,BNB,33479.4374,565,0.91,100.0,84.06,94.83,259.11,1999598,451843.0,69285.0,513710.0,4878977.0,81595843.0,87509658.0
3929,FFD,0.0939,1400,0.361,100.0,33.92,35.61,655.76,2810,,,,,,
3929,RANDOM,2.8134,1385,0.236,64.1,18.84,31.15,519.15,29908,,,,,,
3930,BFD,7.4279,585,0.851,100.0,78.13,88.06,266.53,45540,,,,,,
3930,BNB,128.772,0,0.0,0.0,,0.0,-1.0,7741,7.0,5.0,2458.0,28451.0,352018.0,382939.0
3930,FFD,0.0684,1399,0.36,100.0,32.67,37.88,628.04,1752,,,,,,
3930,RANDOM,1.294,1382,0.282,79.49,22.53,37.28,516.49,16739,,,,,,
3931,BFD,2.3124,595,0.892,100.0,76.0,96.89,245.65,26598,,,,,,
3931,BNB,26004.3338,563,0.886,100.0,80.32,92.2,252.58,1683668,308870.0,20884.0,332770.0,4753107.0,70378783.0,75794414.0
3931,FFD,0.0457,1395,0.353,100.0,32.42,37.12,635.32,1901,,,,,,
3931,RANDOM,0.3643,1390,0.345,92.31,30.11,38.95,593.37,7743,,,,,,
3932,BFD,3.7464,593,0.848,100.0,75.55,90.34,260.17,27594,,,,,,
3932,BNB,39109.2177,0,0.0,0.0,,0.0,-1.0,2913203,140754.0,11602.0,500563.0,10390474.0,130324703.0,141368096.0
3932,FFD,0.118,1400,0.353,100.0,32.0,37.65,628.27,3016,,,,,,
3932,RANDOM,0.1551,1396,0.377,100.0,32.09,52.66,575.46,3083,,,,,,
3933,BFD,3.248,560,0.879,100.0,78.55,92.21,246.81,32514,,,,,,
3933,BNB,6023.1005,497,0.935,100.0,88.5,95.16,234.47,504451,197956.0,31436.0,161355.0,709434.0,15486358.0,16586539.0
3933,FFD,0.086,1400,0.346,100.0,31.42,37.49,629.52,2474,,,,,,
3933,RANDOM,1.0565,1395,0.319,82.05,27.25,54.56,577.28,15623,,,,,,
3934,BFD,2.7585,700,0.821,100.0,68.03,90.35,277.48,24204,,,,,,
3934,BNB,4172.7569,640,0.86,100.0,74.41,92.79,270.27,190622,3318.0,761.0,71431.0,670592.0,11633051.0,12379153.0
3934,FFD,0.0821,1385,0.371,100.0,34.38,38.97,637.44,2030,,,,,,
3934,RANDOM,0.3718,1400,0.372,100.0,34.01,43.24,635.39,6085,,,,,,
